Feature,Importance
payment_history_score,0.10340316758531146
debt,0.08583886621122058
credit_utilization,0.08543653829673557
savings,0.08180117395168945
annual_income,0.0812231871864255
debt_to_income,0.07962957781571751
savings_to_income,0.07878745552392738
employment_years,0.07726941329280713
loan_to_income,0.07625301184988574
loan_amount,0.07381766788553713
age,0.0634591498911517
number_of_open_accounts,0.044575697895169554
late_payments,0.034557723226722056
previous_defaults,0.033947369387699225
